survived,pclass,sex,age,sibsp,parch,fare,embarked,title,solo
0,3rd,male,24.40057284,2,0,21.6791992,Cherbourg,Mr,0
0,3rd,male,24.40057284,2,0,21.6791992,Cherbourg,Mr,0
0,3rd,male,24.40057284,2,0,21.6791992,Cherbourg,Mr,0
0,1st,male,43.56097659,0,0,26.5499992,Southampton,Mr,1
0,3rd,male,30.2923353,0,0,7.7249999,Queenstown,Mr,1
0,3rd,male,28.3087214,0,0,7.89580011,Southampton,Mr,1
0,3rd,male,32.89787305,0,0,7.75,Queenstown,Mr,1
0,3rd,male,29.70321061,0,0,15.1000004,Southampton,Mr,1
1,3rd,female,24.42540946,0,0,7.77920008,Queenstown,Miss,1
0,3rd,male,28.42425189,0,0,8.05000019,Southampton,Mr,1
0,3rd,male,28.42425189,0,0,8.05000019,Southampton,Mr,1
0,3rd,male,28.42425189,0,0,8.05000019,Southampton,Mr,1
0,3rd,male,28.3087214,0,0,7.89580011,Southampton,Mr,1
0,3rd,male,28.42425189,0,0,8.05000019,Southampton,Mr,1
0,3rd,male,27.93408629,0,0,8.66250038,Southampton,Mr,1
0,3rd,male,32.89787305,0,0,7.75,Queenstown,Mr,1
1,3rd,female,23.75251296,0,0,7.73330021,Queenstown,Miss,1
1,1st,female,38.95678374,1,0,133.649994,Southampton,Mrs,0
0,3rd,male,28.42425189,0,0,8.05000019,Southampton,Mr,1
0,3rd,male,28.3087214,0,0,7.89580011,Southampton,Mr,1
0,3rd,male,25.0190534,1,0,6.4375,Cherbourg,Mr,0
0,3rd,male,29.88004539,0,0,6.4375,Cherbourg,Mr,1
0,3rd,male,28.01836642,0,0,7.2249999,Cherbourg,Mr,1
0,3rd,male,28.42425189,0,0,8.05000019,Southampton,Mr,1
0,3rd,male,29.30449648,1,0,16.1000004,Southampton,Mr,0
1,3rd,female,29.62030126,1,0,16.1000004,Southampton,Mrs,0
0,3rd,male,32.89787305,0,0,7.75,Queenstown,Mr,1
0,3rd,male,28.3087214,0,0,7.89580011,Southampton,Mr,1
0,3rd,male,27.82006172,0,0,7.22919989,Cherbourg,Mr,1
0,3rd,male,27.82006172,0,0,7.22919989,Cherbourg,Mr,1
0,1st,male,41.0031911,0,0,0,Southampton,Mr,1
0,3rd,male,6.293882524,1,1,14.5,Southampton,Master,0
0,3rd,male,27.97228133,0,0,9.5,Southampton,Mr,1
0,3rd,male,28.42425189,0,0,8.05000019,Southampton,Mr,1
0,3rd,male,28.85594301,0,0,7.55000019,Southampton,Mr,1
0,3rd,male,28.42425189,0,0,8.05000019,Southampton,Mr,1
0,3rd,male,27.93621962,0,0,8.71249962,Southampton,Mr,1
0,3rd,male,28.85594301,0,0,7.55000019,Southampton,Mr,1
0,3rd,male,28.42425189,0,0,8.05000019,Southampton,Mr,1
0,3rd,male,28.96514966,0,0,7.25,Southampton,Mr,1
0,3rd,male,28.01836642,0,0,7.2249999,Cherbourg,Mr,1
0,3rd,male,27.22598898,0,0,14.4582996,Cherbourg,Mr,1
0,3rd,female,18.33951678,1,0,14.4541998,Cherbourg,Miss,0
1,1st,female,37.40417954,1,0,89.1042023,Cherbourg,Mrs,0
0,1st,male,41.65018865,0,0,42.4000015,Southampton,Mr,1
1,1st,male,43.81698257,0,0,30,Southampton,Mr,1
0,1st,male,41.30166369,0,0,51.8624992,Southampton,Mr,1
0,1st,male,43.12935852,0,0,25.9249992,Southampton,Mr,1
0,1st,male,42.60466645,0,0,30.6958008,Cherbourg,Mr,1
1,1st,female,38.60905536,1,0,51.8624992,Southampton,Mrs,0
0,1st,male,43.56097659,0,0,26.5499992,Southampton,Mr,1
0,1st,male,39.90609385,0,0,27.7208004,Cherbourg,Mr,1
1,1st,male,41.42749058,0,0,29.7000008,Cherbourg,Mr,1
1,1st,female,39.00751392,1,0,82.1707993,Cherbourg,Mrs,0
1,1st,male,38.88355052,0,0,25.7416992,Cherbourg,Mr,1
0,1st,male,41.0031911,0,0,0,Southampton,Mr,1
1,1st,male,41.95579549,0,0,39.5999985,Southampton,Mr,1
0,1st,male,36.69019269,0,0,227.524994,Cherbourg,Mr,1
0,1st,male,41.85672486,0,0,50,Southampton,Mr,1
1,1st,male,43.51905443,0,0,30.5,Southampton,Mr,1
1,1st,male,43.10235476,0,0,26,Southampton,Mr,1
0,1st,male,43.10235476,0,0,26,Southampton,Mr,1
1,1st,female,36.09832203,1,0,146.520798,Cherbourg,Mrs,0
0,1st,male,39.90609385,0,0,27.7208004,Cherbourg,Mr,1
1,1st,female,38.00279485,1,0,52,Southampton,Mrs,0
1,1st,female,47.90020605,0,0,79.1999969,Cherbourg,Mrs,1
0,1st,male,43.28182302,0,0,35,Southampton,Mr,1
1,1st,male,42.54557367,0,0,35.5,Southampton,Mr,1
0,2nd,male,34.58418323,0,0,0,Southampton,Mr,1
1,1st,male,43.56097659,0,0,26.5499992,Southampton,Mr,1
0,2nd,female,34.19675895,0,0,21,Southampton,Mrs,1
0,2nd,male,34.58418323,0,0,0,Southampton,Mr,1
0,1st,male,41.16587908,0,0,39.5999985,Cherbourg,Dr,1
0,2nd,male,34.58418323,0,0,0,Southampton,Mr,1
0,1st,male,43.73572026,0,0,31,Southampton,Mr,1
1,2nd,female,29.24878255,0,0,12.3500004,Queenstown,Miss,1
0,2nd,male,34.58418323,0,0,0,Southampton,Mr,1
0,2nd,male,41.25148568,0,0,10.7082996,Queenstown,Mr,1
1,2nd,female,25.97566886,0,0,33,Southampton,Miss,1
0,2nd,male,30.61283728,0,0,15.0458002,Cherbourg,Mr,1
0,2nd,male,30.56170827,0,0,15.5791998,Cherbourg,Mr,1
1,2nd,male,30.05815533,0,0,13.8625002,Cherbourg,Mr,1
0,2nd,male,34.58418323,0,0,0,Southampton,Mr,1
0,2nd,male,30.61283728,0,0,15.0500002,Cherbourg,Mr,1
0,2nd,male,34.58418323,0,0,0,Southampton,Mr,1
0,2nd,male,32.070393,0,0,12.875,Southampton,Mr,1
1,2nd,male,32.0480892,0,0,13,Southampton,Mr,1
1,1st,female,47.17070998,0,0,27.7208004,Cherbourg,Mrs,1
0,3rd,male,18.51650494,0,0,7.22919989,Cherbourg,Master,1
0,3rd,male,28.01836642,0,0,7.2249999,Cherbourg,Mr,1
0,3rd,female,28.98645715,0,2,15.2458,Cherbourg,Mrs,0
0,3rd,female,13.83061943,0,2,7.75,Queenstown,Miss,0
1,1st,female,42.40982186,0,1,55,Southampton,Mrs,0
0,3rd,male,25.10719569,1,0,14.4582996,Cherbourg,Mr,0
0,3rd,female,23.84423377,1,0,14.4582996,Cherbourg,Mrs,0
0,1st,male,41.0031911,0,0,0,Southampton,Mr,1
0,1st,male,40.78751921,0,0,52,Southampton,Mr,1
0,3rd,male,29.30449648,1,0,16.1000004,Southampton,Mr,0
1,3rd,female,29.62030126,1,0,16.1000004,Southampton,Mrs,0
0,3rd,male,28.3087214,0,0,7.89580011,Southampton,Mr,1
0,3rd,male,28.3087214,0,0,7.89580011,Southampton,Mr,1
0,3rd,male,27.82006172,0,0,7.22919989,Cherbourg,Mr,1
0,3rd,male,28.01836642,0,0,7.2249999,Cherbourg,Mr,1
0,3rd,male,28.01836642,0,0,7.2249999,Cherbourg,Mr,1
1,3rd,male,29.1772649,0,0,7.05000019,Southampton,Mr,1
0,3rd,female,24.64178708,0,0,7.75,Queenstown,Miss,1
0,3rd,male,32.89787305,0,0,7.75,Queenstown,Mr,1
0,3rd,male,30.11999293,0,0,6.94999981,Queenstown,Mr,1
0,3rd,male,32.89787305,0,0,7.75,Queenstown,Mr,1
1,3rd,male,30.82150529,0,0,56.4958,Southampton,Mr,1
0,3rd,male,28.42425189,0,0,8.05000019,Southampton,Mr,1
0,1st,male,43.56097659,0,0,26.5499992,Southampton,Mr,1
0,3rd,male,32.89787305,0,0,7.75,Queenstown,Mr,1
0,3rd,male,28.96514966,0,0,7.25,Southampton,Mr,1
0,3rd,male,29.45705419,0,0,14.5,Southampton,Mr,1
0,3rd,male,28.40033668,0,0,7.89580011,Cherbourg,Mr,1
1,3rd,female,24.64178708,0,0,7.75,Queenstown,Miss,1
0,3rd,male,28.42425189,0,0,8.05000019,Southampton,Mr,1
0,3rd,male,28.52003877,1,0,19.9666996,Southampton,Mr,0
0,3rd,male,28.52003877,1,0,19.9666996,Southampton,Mr,0
0,3rd,female,23.96340735,0,0,7.55000019,Southampton,Miss,1
0,3rd,male,30.07290833,0,0,6.85830021,Queenstown,Mr,1
1,3rd,female,24.64178708,0,0,7.75,Queenstown,Miss,1
1,3rd,male,30.82150529,0,0,56.4958,Southampton,Mr,1
0,3rd,female,24.64178708,0,0,7.75,Queenstown,Miss,1
0,3rd,male,32.89787305,0,0,7.75,Queenstown,Mr,1
1,3rd,female,24.53010458,0,0,8.05000019,Southampton,Miss,1
1,3rd,male,28.29388579,0,0,7.88749981,Southampton,Mr,1
0,3rd,male,28.3087214,0,0,7.89580011,Southampton,Mr,1
0,3rd,male,28.3087214,0,0,7.89580011,Southampton,Mr,1
0,3rd,male,29.1772649,0,0,7.05000019,Southampton,Mr,1
1,3rd,female,24.64178708,0,0,7.75,Queenstown,Miss,1
1,3rd,male,28.11418894,0,0,8.11250019,Southampton,Mr,1
0,3rd,male,6.416285906,1,2,23.4500008,Southampton,Master,0
0,3rd,female,7.93791932,1,2,23.4500008,Southampton,Miss,0
0,3rd,male,29.42471059,1,2,23.4500008,Southampton,Mr,0
0,3rd,female,31.51522876,1,2,23.4500008,Southampton,Mrs,0
0,3rd,male,27.82006172,0,0,7.22919989,Cherbourg,Mr,1
0,3rd,male,32.89787305,0,0,7.75,Queenstown,Mr,1
0,3rd,male,28.96514966,0,0,7.25,Southampton,Mr,1
1,3rd,female,24.64178708,0,0,7.75,Queenstown,Miss,1
1,3rd,female,24.64178708,0,0,7.75,Queenstown,Miss,1
1,3rd,male,32.89787305,0,0,7.75,Queenstown,Mr,1
0,3rd,male,25.11002903,1,0,14.4541998,Cherbourg,Mr,0
0,3rd,female,23.84123377,1,0,14.4541998,Cherbourg,Mrs,0
0,3rd,male,28.71780659,1,0,7.75,Queenstown,Mr,0
0,3rd,male,28.71780659,1,0,7.75,Queenstown,Mr,0
0,3rd,male,30.2923353,0,0,7.73750019,Queenstown,Mr,1
0,3rd,male,28.40033668,0,0,7.89580011,Cherbourg,Mr,1
0,3rd,male,28.01836642,0,0,7.2249999,Cherbourg,Mr,1
0,3rd,male,28.3087214,0,0,7.89580011,Southampton,Mr,1
1,3rd,male,30.82150529,0,0,56.4958,Southampton,Mr,1
0,3rd,male,30.82150529,0,0,56.4958,Southampton,Mr,1
0,3rd,male,32.89787305,0,0,7.75,Queenstown,Mr,1
0,3rd,male,6.156919623,3,1,25.4666996,Southampton,Master,0
0,3rd,female,8.030947356,3,1,25.4666996,Southampton,Miss,0
0,3rd,female,8.030947356,3,1,25.4666996,Southampton,Miss,0
0,3rd,female,8.030947356,3,1,25.4666996,Southampton,Miss,0
0,3rd,female,37.02816445,0,4,25.4666996,Southampton,Mrs,0
0,3rd,female,19.46062963,1,0,15.5,Queenstown,Miss,0
0,3rd,male,32.63490067,1,0,15.5,Queenstown,Mr,0
0,3rd,male,31.57560988,0,0,7.87919998,Queenstown,Mr,1
0,3rd,male,28.85594301,0,0,7.55000019,Southampton,Mr,1
0,3rd,male,28.29539245,0,0,7.87919998,Southampton,Mr,1
0,3rd,male,28.3087214,0,0,7.89580011,Southampton,Mr,1
0,3rd,male,28.85594301,0,0,7.55000019,Southampton,Mr,1
1,3rd,female,24.64178708,0,0,7.75,Queenstown,Miss,1
0,3rd,female,24.21327665,0,0,7.87919998,Queenstown,Miss,1
0,3rd,male,32.89787305,0,0,7.75,Queenstown,Mr,1
0,3rd,male,28.42425189,0,0,8.05000019,Southampton,Mr,1
1,3rd,male,27.82006172,0,0,7.22919989,Cherbourg,Mr,1
1,3rd,female,23.78620038,0,0,7.73750019,Queenstown,Miss,1
0,3rd,male,27.82006172,0,0,7.22919989,Cherbourg,Mr,1
1,3rd,female,33.21154155,0,0,7.2249999,Cherbourg,Mrs,1
0,3rd,male,28.40033668,0,0,7.89580011,Cherbourg,Mr,1
1,1st,female,29,0,0,211.337494,Southampton,Miss,1
0,1st,male,71,0,0,49.5042,Cherbourg,Mr,1
1,1st,female,48,1,0,39.5999985,Cherbourg,Lady,0
1,3rd,female,15,0,0,8.0291996,Queenstown,Miss,1
0,3rd,female,35,0,0,7.75,Queenstown,Miss,1
1,1st,male,49,1,0,56.9291992,Cherbourg,Sir,0
0,3rd,male,24,1,0,16.1000004,Southampton,Mr,0
0,3rd,female,19,1,0,16.1000004,Southampton,Mrs,0
0,3rd,male,55.5,0,0,8.05000019,Southampton,Mr,1
1,3rd,male,21,0,0,7.7750001,Southampton,Mr,1
0,1st,male,39,0,0,29.7000008,Cherbourg,Mr,1
0,3rd,male,24,0,0,7.89580011,Southampton,Mr,1
0,3rd,male,21,0,0,7.89580011,Southampton,Mr,1
0,3rd,male,28,0,0,7.89580011,Southampton,Mr,1
0,3rd,male,25,0,0,7.6500001,Southampton,Mr,1
1,3rd,male,6,0,1,12.4750004,Southampton,Master,0
1,3rd,female,27,0,1,12.4750004,Southampton,Mrs,0
1,1st,female,23,0,1,83.1583023,Cherbourg,Mrs,0
0,3rd,male,34,0,0,8.05000019,Southampton,Mr,1
1,1st,female,38,0,0,227.524994,Cherbourg,Miss,1
1,3rd,female,24,0,0,7.75,Queenstown,Miss,1
0,3rd,male,18,0,0,7.75,Southampton,Mr,1
0,3rd,male,22,0,0,7.89580011,Southampton,Mr,1
1,3rd,female,15,0,0,7.2249999,Cherbourg,Miss,1
1,3rd,female,1,0,2,15.7417002,Cherbourg,Miss,0
1,1st,female,54,1,0,78.2667007,Cherbourg,Miss,0
1,3rd,male,20,1,1,15.7417002,Cherbourg,Mr,0
1,3rd,female,19,1,1,15.7417002,Cherbourg,Mrs,0
0,3rd,male,33,0,0,8.05000019,Southampton,Mr,1
1,3rd,male,12,1,0,11.2417002,Cherbourg,Master,0
1,3rd,female,14,1,0,11.2417002,Cherbourg,Miss,0
0,3rd,female,29,0,0,7.92500019,Southampton,Miss,1
0,1st,female,36,0,0,31.6791992,Cherbourg,Miss,1
0,3rd,male,28,0,0,8.05000019,Southampton,Mr,1
1,3rd,female,18,0,0,7.7750001,Southampton,Miss,1
1,3rd,female,26,0,0,7.85419989,Southampton,Miss,1
0,3rd,male,21,0,0,7.85419989,Southampton,Mr,1
0,3rd,male,41,0,0,7.125,Southampton,Mr,1
1,3rd,male,39,0,0,7.92500019,Southampton,Mr,1
0,3rd,male,21,0,0,7.80000019,Southampton,Mr,1
0,3rd,male,28.5,0,0,7.22919989,Cherbourg,Mr,1
1,3rd,female,22,0,0,7.75,Southampton,Miss,1
0,3rd,male,61,0,0,6.23750019,Southampton,Mr,1
0,3rd,male,23,0,0,9.22500038,Southampton,Mr,1
1,3rd,female,22,0,0,7.7750001,Southampton,Miss,1
1,3rd,male,9,0,1,3.17079997,Southampton,Master,0
0,3rd,male,28,0,0,22.5249996,Southampton,Mr,1
0,3rd,male,42,0,1,8.4041996,Southampton,Mr,0
0,3rd,female,31,0,0,7.85419989,Southampton,Miss,1
0,3rd,male,28,0,0,7.85419989,Southampton,Mr,1
1,3rd,male,32,0,0,7.7750001,Southampton,Mr,1
0,3rd,male,20,0,0,9.22500038,Southampton,Mr,1
0,3rd,female,23,0,0,8.66250038,Southampton,Miss,1
0,3rd,female,20,0,0,8.66250038,Southampton,Miss,1
0,3rd,male,20,0,0,8.66250038,Southampton,Mr,1
0,3rd,male,16,0,0,9.2166996,Southampton,Mr,1
1,3rd,female,31,0,0,8.68330002,Southampton,Mrs,1
0,3rd,male,2,3,1,21.0750008,Southampton,Master,0
0,3rd,male,6,3,1,21.0750008,Southampton,Master,0
0,3rd,female,3,3,1,21.0750008,Southampton,Miss,0
0,1st,male,47,1,0,227.524994,Cherbourg,Col,0
1,1st,male,36,0,0,26.3875008,Southampton,Mr,1
0,3rd,female,8,3,1,21.0750008,Southampton,Miss,0
0,3rd,female,29,0,4,21.0750008,Southampton,Mrs,0
0,3rd,male,1,4,1,39.6875,Southampton,Master,0
0,3rd,male,7,4,1,39.6875,Southampton,Master,0
0,3rd,male,2,4,1,39.6875,Southampton,Master,0
0,3rd,male,16,4,1,39.6875,Southampton,Mr,0
0,3rd,male,14,4,1,39.6875,Southampton,Mr,0
0,3rd,female,41,0,5,39.6875,Southampton,Mrs,0
0,3rd,male,21,0,0,8.66250038,Southampton,Mr,1
0,3rd,male,19,0,0,14.5,Southampton,Mr,1
0,1st,male,30,0,0,27.75,Cherbourg,Mr,1
0,3rd,male,32,0,0,7.89580011,Southampton,Mr,1
0,3rd,male,0.75,1,1,13.7749996,Southampton,Master,0
0,3rd,female,3,1,1,13.7749996,Southampton,Miss,0
0,3rd,female,26,0,2,13.7749996,Southampton,Mrs,0
0,3rd,male,21,0,0,7.92500019,Southampton,Mr,1
0,3rd,male,25,0,0,7.92500019,Southampton,Mr,1
1,1st,female,24,3,2,263,Southampton,Miss,0
0,3rd,male,22,0,0,7.25,Southampton,Mr,1
1,3rd,male,25,1,0,7.7750001,Southampton,Mr,0
0,3rd,male,24,0,0,8.05000019,Southampton,Mr,1
0,3rd,female,28,0,0,7.89580011,Southampton,Miss,1
0,3rd,male,19,0,0,7.89580011,Southampton,Mr,1
1,1st,female,28,3,2,263,Southampton,Miss,0
0,3rd,male,25,1,0,7.7750001,Southampton,Mr,0
0,3rd,female,18,0,0,7.7750001,Southampton,Miss,1
1,3rd,male,32,0,0,8.05000019,Southampton,Mr,1
0,3rd,male,17,0,0,8.66250038,Southampton,Mr,1
0,3rd,male,24,0,0,8.66250038,Southampton,Mr,1
1,1st,female,23,3,2,263,Southampton,Miss,0
0,3rd,male,38,0,0,7.89580011,Southampton,Mr,1
0,3rd,male,21,0,0,8.05000019,Southampton,Mr,1
0,3rd,male,10,4,1,29.125,Queenstown,Master,0
0,3rd,male,4,4,1,29.125,Queenstown,Master,0
0,3rd,male,7,4,1,29.125,Queenstown,Master,0
0,3rd,male,2,4,1,29.125,Queenstown,Master,0
0,3rd,male,8,4,1,29.125,Queenstown,Master,0
0,3rd,female,39,0,5,29.125,Queenstown,Mrs,0
0,3rd,female,22,0,0,39.6875,Southampton,Miss,1
0,3rd,male,35,0,0,7.125,Southampton,Mr,1
0,1st,male,19,3,2,263,Southampton,Mr,0
0,3rd,male,50,1,0,14.5,Southampton,Mr,0
0,3rd,female,47,1,0,14.5,Southampton,Mrs,0
0,3rd,female,2,1,1,20.2124996,Southampton,Miss,0
0,3rd,male,18,1,1,20.2124996,Southampton,Mr,0
0,3rd,female,41,0,2,20.2124996,Southampton,Mrs,0
0,1st,male,64,1,4,263,Southampton,Mr,0
0,3rd,male,50,0,0,8.05000019,Southampton,Mr,1
0,3rd,male,16,0,0,8.05000019,Southampton,Mr,1
0,3rd,male,25,0,0,7.2249999,Cherbourg,Mr,1
1,1st,female,60,1,4,263,Southampton,Mrs,0
0,3rd,male,38.5,0,0,7.25,Southampton,Mr,1
0,3rd,male,14.5,8,2,69.5500031,Southampton,Master,0
1,1st,female,30,0,0,56.9291992,Cherbourg,Miss,1
0,3rd,male,24,0,0,9.32499981,Southampton,Mr,1
1,3rd,female,21,0,0,7.6500001,Southampton,Miss,1
0,3rd,male,39,0,0,7.92500019,Southampton,Mr,1
1,3rd,female,1,1,1,16.7000008,Southampton,Miss,0
1,3rd,female,24,0,2,16.7000008,Southampton,Mrs,0
1,3rd,female,4,1,1,16.7000008,Southampton,Miss,0
1,3rd,male,25,0,0,9.5,Southampton,Mr,1
0,3rd,male,20,0,0,8.05000019,Southampton,Mr,1
0,3rd,male,24.5,0,0,8.05000019,Southampton,Mr,1
1,3rd,male,29,0,0,9.5,Southampton,Mr,1
1,1st,female,18,1,0,227.524994,Cherbourg,Mrs,0
1,1st,male,50,2,0,133.649994,Southampton,Dr,0
0,3rd,male,22,0,0,7.22919989,Cherbourg,Mr,1
0,3rd,male,40,0,0,7.89580011,Southampton,Mr,1
0,3rd,male,21,0,0,7.92500019,Southampton,Mr,1
1,3rd,female,18,0,0,7.49580002,Southampton,Miss,1
0,3rd,male,4,3,2,27.8999996,Southampton,Master,0
0,3rd,male,10,3,2,27.8999996,Southampton,Master,0
0,3rd,female,9,3,2,27.8999996,Southampton,Miss,0
1,1st,male,43,1,0,27.7208004,Cherbourg,Mr,0
0,3rd,female,2,3,2,27.8999996,Southampton,Miss,0
0,3rd,male,40,1,4,27.8999996,Southampton,Mr,0
0,3rd,female,45,1,4,27.8999996,Southampton,Mrs,0
0,3rd,male,19,0,0,7.6500001,Southampton,Mr,1
0,3rd,male,30,0,0,8.05000019,Southampton,Mr,1
0,3rd,male,32,0,0,8.05000019,Southampton,Mr,1
0,3rd,male,33,0,0,8.66250038,Cherbourg,Mr,1
1,3rd,female,23,0,0,7.55000019,Southampton,Miss,1
0,3rd,male,21,0,0,8.05000019,Southampton,Mr,1
0,3rd,male,60.5,0,0,33.29547939,Southampton,Mr,1
0,3rd,male,19,0,0,7.89580011,Southampton,Mr,1
0,3rd,female,22,0,0,9.83749962,Southampton,Miss,1
1,3rd,male,31,0,0,7.92500019,Southampton,Mr,1
1,1st,female,22,0,2,49.5,Cherbourg,Miss,0
0,3rd,male,27,0,0,8.66250038,Southampton,Mr,1
0,3rd,female,2,0,1,10.4624996,Southampton,Miss,0
0,3rd,female,29,1,1,10.4624996,Southampton,Mrs,0
1,3rd,male,16,0,0,8.05000019,Southampton,Mr,1
1,3rd,male,44,0,0,7.92500019,Southampton,Mr,1
